file,status,size_mb,url,cycle
DEMO,skipped,11.5,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt,1999-2000
DRXTOT,skipped,9.9,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.xpt,1999-2000
DEMO_B,skipped,3.27,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.xpt,2001-2002
DRXTOT_B,skipped,11.92,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DRXTOT_B.xpt,2001-2002
DEMO_C,skipped,3.57,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.xpt,2003-2004
DR1TOT_C,skipped,12.37,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR1TOT_C.xpt,2003-2004
DEMO_D,skipped,3.57,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.xpt,2005-2006
DR1TOT_D,skipped,12.76,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR1TOT_D.xpt,2005-2006
DEMO_E,skipped,3.5,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.xpt,2007-2008
DR1TOT_E,skipped,12.83,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DR1TOT_E.xpt,2007-2008
DEMO_F,skipped,3.63,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.xpt,2009-2010
DR1TOT_F,skipped,13.64,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DR1TOT_F.xpt,2009-2010
DEMO_G,skipped,3.75,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.xpt,2011-2012
DR1TOT_G,skipped,12.42,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DR1TOT_G.xpt,2011-2012
DEMO_H,skipped,3.83,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.xpt,2013-2014
DR1TOT_H,skipped,13.21,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DR1TOT_H.xpt,2013-2014
DEMO_I,skipped,3.76,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.xpt,2015-2016
DR1TOT_I,skipped,12.85,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DR1TOT_I.xpt,2015-2016
DEMO_J,skipped,3.41,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.xpt,2017-2018
DR1TOT_J,skipped,11.72,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DR1TOT_J.xpt,2017-2018
DEMO_L,skipped,2.58,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.xpt,2021-2023
DR1TOT_L,skipped,11.93,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR1TOT_L.xpt,2021-2023
